dag_id,num_A_fi_gj,num_A_fj_gi,num_X_fi,num_X_fj,num_2D_arrays,num_1D_arrays,par_i,par_j,problem_size,num_nodes,num_edges,avg_degree,num_roots,num_leaves,depth,num_true_deps,num_anti_deps,num_output_deps,density
0,10,0,6,2,10,8,1,0,1024,6,12,4.0,1,1,6,5,4,3,0.4
1,9,0,12,6,9,18,1,0,1024,9,18,4.0,3,1,5,10,3,5,0.25
2,13,0,13,4,13,17,1,0,1024,10,20,4.0,4,2,7,5,9,6,0.2222222222222222
3,13,0,7,4,13,11,1,0,1024,8,16,4.0,1,1,6,5,7,4,0.2857142857142857
4,14,0,3,4,14,7,1,0,1024,7,14,4.0,2,1,5,4,5,5,0.3333333333333333
5,12,0,6,3,12,9,1,0,1024,7,14,4.0,1,1,5,4,4,6,0.3333333333333333
6,12,0,8,4,12,12,1,0,1024,8,16,4.0,2,1,6,1,10,5,0.2857142857142857
7,10,0,12,5,10,17,1,0,1024,9,18,4.0,3,1,6,6,8,4,0.25
8,10,0,8,0,10,8,1,0,1024,6,12,4.0,1,1,5,0,5,7,0.4
9,8,0,8,2,8,10,1,0,1024,6,12,4.0,2,1,5,5,3,4,0.4
10,10,0,7,4,10,11,1,0,1024,7,14,4.0,1,1,6,6,2,6,0.3333333333333333
11,8,0,9,4,8,13,1,0,1024,7,14,4.0,1,1,6,4,4,6,0.3333333333333333
12,8,0,6,7,8,13,1,0,1024,7,14,4.0,1,1,6,1,7,6,0.3333333333333333
13,14,0,10,3,14,13,1,0,1024,9,18,4.0,2,1,8,5,11,2,0.25
14,11,0,4,6,11,10,1,0,1024,7,14,4.0,2,1,5,6,4,4,0.3333333333333333
15,12,0,9,3,12,12,1,0,1024,8,16,4.0,3,1,5,7,6,3,0.2857142857142857
16,18,0,6,6,18,12,1,0,1024,10,20,4.0,3,1,6,5,8,7,0.2222222222222222
17,7,0,10,4,7,14,1,0,1024,7,14,4.0,2,1,6,6,3,5,0.3333333333333333
18,14,0,7,3,14,10,1,0,1024,8,16,4.0,3,1,6,5,2,9,0.2857142857142857
